PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,ABSTRACT SCREEN,INCLUDE? ,SAMPLE SIZE,COUNTRY,TIME POINTS,TIME PERIOD,
39711531,Towards pandemic preparedness: ability to estimate high-resolution social contact patterns from longitudinal surveys,"Dan S, Tegegne J, Chen Y, Ling Z, Jaeger VK, Karch A, Mishra S, Ratmann O.",Res Sq [Preprint]. 2024 Dec 11:rs.3.rs-5182601. doi: 10.21203/rs.3.rs-5182601/v1.,Dan S,Res Sq,2024,23/12/2024,PMC11661306,,10.21203/rs.3.rs-5182601/v1,NO,,,,,,
38386667,Seasonal variations in social contact patterns in a rural population in north India: Implications for pandemic control,"Nagpal S, Kumar R, Noronha RF, Kumar S, Gupta D, Amarchand R, Gosain M, Sharma H, Menon GI, Krishnan A.",PLoS One. 2024 Feb 22;19(2):e0296483. doi: 10.1371/journal.pone.0296483. eCollection 2024.,Nagpal S,PLoS One,2024,22/02/2024,PMC10883557,,10.1371/journal.pone.0296483,YES,YES,3052,India,,,
39287986,"Disentangling social, environmental, and zoonotic transmission pathways of a gastrointestinal protozoan (Blastocystis spp.) in northeast Madagascar","Barrett TM, Titcomb GC, Janko MM, Pender M, Kauffman K, Solis A, Randriamoria MT, Young HS, Mucha PJ, Moody J, Kramer RA, Soarimalala V, Nunn CL.",Am J Biol Anthropol. 2024 Nov;185(3):e25030. doi: 10.1002/ajpa.25030. Epub 2024 Sep 17.,Barrett TM,Am J Biol Anthropol,2024,17/09/2024,PMC11495997,,10.1002/ajpa.25030,YES,NO,,,,,
38549332,Modeling the impact of distancing measures on infectious disease spread: a case study of COVID-19 in the Moroccan population,"Lamghari A, Kanté DSI, Jebrane A, Hakim A.",Math Biosci Eng. 2024 Feb 27;21(3):4370-4396. doi: 10.3934/mbe.2024193.,Lamghari A,Math Biosci Eng,2024,29/03/2024,,,10.3934/mbe.2024193,YES,NO,,,,,
38800113,Chronic disease patients have fewer social contacts: A pilot survey with implications for transmission dynamics,"Vanderlocht J, Møgelmose S, Van Kerckhove K, Beutels P, Hens N.",Infect Dis Model. 2024 May 7;9(3):926-930. doi: 10.1016/j.idm.2024.05.002. eCollection 2024 Sep.,Vanderlocht J,Infect Dis Model,2024,27/05/2024,PMC11127182,,10.1016/j.idm.2024.05.002,YES,YES,99,,,,
39953405,Evolution of social contacts patterns in France over the SARS-CoV-2 pandemic: results from the SocialCov survey,"Soussand F, Abdou AY, Sanchez M, Huynh BT, Giese C, Tran-Kiem C, Béraud G, Guillemot D, Cauchemez S, Opatowski L, Bosetti P.",BMC Infect Dis. 2025 Feb 14;25(1):224. doi: 10.1186/s12879-025-10611-4.,Soussand F,BMC Infect Dis,2025,14/02/2025,PMC11829358,,10.1186/s12879-025-10611-4,YES,YES,44396,France,,,
39662510,[Expectations and Perceptions of Medical Rehabilitation in Times of Pandemic from the Perspective of Individuals in Need of Rehabilitation and Rehabilitation Patients - A Qualitative Study],"Annac K, Fieselmann J, Yılmaz-Aslan Y, Brzoska P.",Rehabilitation (Stuttg). 2024 Dec;63(6):339-348. doi: 10.1055/a-2446-6971. Epub 2024 Dec 11.,Annac K,Rehabilitation (Stuttg),2024,11/12/2024,,,10.1055/a-2446-6971,NO,,,,,,
32870159,"Assessing the Impact of the COVID-19 Pandemic in Spain: Large-Scale, Online, Self-Reported Population Survey","Oliver N, Barber X, Roomp K, Roomp K.",J Med Internet Res. 2020 Sep 10;22(9):e21319. doi: 10.2196/21319.,Oliver N,J Med Internet Res,2020,09/02/2020,PMC7485997,,10.2196/21319,YES,YES,156614,Spain,,,
,Quantifying Contact Patterns: Development and Characteristics of the British Columbia COVID-19 Population Mixing Patterns Survey,,,Adu P,International Journal of Infectious Diseases,2022,,,,,YES,YES,58000,Canada,,,
34675016,"Differential impact of physical distancing strategies on social contacts relevant for the spread of SARS-CoV-2: evidence from a cross-national online survey, March-April 2020","Del Fava E, Cimentada J, Perrotta D, Grow A, Rampazzo F, Gil-Clavel S, Zagheni E.",BMJ Open. 2021 Oct 21;11(10):e050651. doi: 10.1136/bmjopen-2021-050651.,Del Fava E,BMJ Open,2021,10/22/21,PMC8532142,,10.1136/bmjopen-2021-050651,MAYBE,YES,51233,MULTIPLE COUNTRIES,,,FACEBOOK
